船名,中文船名,进口/出口,预计到港时间,实际到港时间,预计离港时间,实际离港时间,码头泊位,港口,操作
"THALASSA ELPIDA","海望轮","E1013/","19-02-19 22:15","","19-02-20 20:00","","10","宁波港吉码头","高亮&nbsp;&nbsp;
                        定位"
"HARMONY YUNGANG","和谐云港","19013W/19014E","19-02-20 00:00","","19-02-21 00:00","","","连云港码头","高亮&nbsp;&nbsp;
                        定位"
"EVER ETHIC","长德","1077E/","19-02-20 00:00","","","","海润码头","厦门海润集装箱码头","高亮&nbsp;&nbsp;
                        定位"
"CHANG RONG 8","长荣8","1920/","19-02-20 00:00","","","","海润码头","厦门海润集装箱码头","高亮&nbsp;&nbsp;
                        定位"
"ZHONG GU XIA MEN","中谷厦门","1904N/1905S","19-02-20 00:00","","19-02-21 00:00","","QQCTU四期","青岛前湾集装箱码头","高亮&nbsp;&nbsp;
                        定位"
"APL PARIS","达飞美总巴黎","0SV0WN/0SV2DW","19-02-20 00:00","","19-02-21 00:00","","QQCTU四期","青岛前湾集装箱码头","高亮&nbsp;&nbsp;
                        定位"
"METHI BHUM","长锦宏文","1911S/1911N","19-02-20 00:00","","19-02-21 00:00","","QQCT二期","青岛前湾集装箱码头","高亮&nbsp;&nbsp;
                        定位"
"","金兴岭","V43/43","19-02-20 00:00","","","","","天津港第二港埠码头","高亮&nbsp;&nbsp;
                        定位"
"","麦斯","190215/0001","19-02-20 00:00","","","","","天津港第二港埠码头","高亮&nbsp;&nbsp;
                        定位"
"","合唱团","QJ01/QJ02","19-02-20 00:00","","","","","天津港第二港埠码头","高亮&nbsp;&nbsp;
                        定位"
"","幸福松","42A/42","19-02-20 00:00","","","","","天津港第二港埠码头","高亮&nbsp;&nbsp;
                        定位"
"","金穗","V1461A/V1461","19-02-20 00:00","","","","","天津港第二港埠码头","高亮&nbsp;&nbsp;
                        定位"
"XIN ZHOU SHAN","新舟山","1902AN/","19-02-20 00:00","","","","海润码头","厦门海润集装箱码头","高亮&nbsp;&nbsp;
                        定位"
"XIN HONG XIANG 55","新鸿翔55","19009/","19-02-20 00:00","","","","海润码头","厦门海润集装箱码头","高亮&nbsp;&nbsp;
                        定位"
"FANG ZHOU 29","方舟29","190219C/","19-02-20 00:00","19-02-20 00:00","","","海润码头","厦门海润集装箱码头","高亮&nbsp;&nbsp;
                        定位"
"XINHONGXIANG78","新鸿翔78","9007S/","19-02-20 00:30","","19-02-20 05:00","","","宁波港吉码头","高亮&nbsp;&nbsp;
                        定位"
"XIEHAIMINGZHOU","协海明洲","907N/","19-02-20 02:00","","19-02-20 07:00","","2","宁波港吉码头","高亮&nbsp;&nbsp;
                        定位"
"LIANHE25","联合25","/907N","19-02-20 03:00","","19-02-20 06:00","","2","宁波港吉码头","高亮&nbsp;&nbsp;
                        定位"
"LIANHE25","联合25","/907N","19-02-20 03:30","","19-02-20 08:30","","7","宁波港吉码头","高亮&nbsp;&nbsp;
                        定位"
"YM WARMTH","煌明","017E/018W","19-02-20 05:00","","19-02-21 00:00","","QQCT三期","青岛前湾集装箱码头","高亮&nbsp;&nbsp;
                        定位"
